,laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
127,130,3,82,1,14.0,4,34,4,15,17,6,1.65,277.99
128,131,2,23,1,17.3,2,7,16,12,18,2,2.8,1396.0
129,132,1,18,1,17.3,2,8,8,2,8,2,2.5,928.0
130,133,2,83,1,15.6,4,2,8,6,37,2,2.36,638.99
131,134,2,6,1,15.6,2,9,4,6,11,2,2.2,449.0
132,135,5,5,0,14.0,5,7,8,2,8,2,1.6,884.0
133,136,5,84,1,15.6,2,24,4,2,32,2,2.2,572.0
134,137,1,85,1,15.6,4,12,8,6,2,2,2.05,598.0
135,138,1,75,1,14.0,2,7,8,2,8,2,1.63,988.0
136,139,4,86,1,15.6,4,23,4,6,21,1,1.9,252.36
137,140,3,87,3,17.3,2,16,8,8,16,2,3,938.0
138,141,4,52,1,15.6,2,2,4,6,27,1,2.2,499.0
139,142,1,88,1,13.3,5,2,4,2,2,2,1.32,699.0
140,143,5,59,1,17.3,5,24,4,6,32,2,3,655.0
141,144,4,89,1,14.0,5,8,8,2,38,2,1.75,1116.02
142,145,4,11,3,15.6,5,25,8,2,39,1,2.4,869.0
143,146,8,90,1,15.6,4,35,4,4,9,2,2.1,602.0
144,147,1,12,1,15.6,4,22,4,2,28,2,1.86,369.0
145,148,3,91,0,14.0,2,7,8,2,8,2,1.25,1099.0
146,149,1,92,0,12.5,14,36,8,3,40,2,0.97,2014.0
147,150,3,93,1,15.6,2,23,4,6,21,2,2,344.0
148,151,7,94,3,17.3,2,25,16,11,30,2,2.9,2029.0
149,152,5,95,1,15.6,4,9,4,6,9,2,2.1,447.0
150,153,2,96,3,15.6,2,25,16,3,16,2,2.56,1249.26
151,154,2,97,3,15.6,2,25,8,16,16,2,2.62,899.0
152,155,4,98,1,15.6,4,2,4,0,2,2,1.9,498.0
153,156,7,99,3,17.3,2,25,16,11,23,2,2.8,1890.0
154,157,1,100,0,14.0,2,37,4,2,2,2,1.48,1082.0
155,158,1,101,1,15.6,2,8,6,2,29,2,1.91,619.0
156,159,4,102,4,14.0,7,14,4,2,2,2,1.74,629.0
157,160,3,103,4,13.3,8,8,8,2,2,2,1.1,1315.0
158,161,2,104,4,15.6,8,7,8,2,8,2,1.56,1049.0
159,163,8,90,1,15.6,4,38,4,4,9,2,2.1,447.0
160,164,3,105,1,15.6,4,5,4,6,41,2,2.03,403.0
161,165,5,106,1,17.3,5,8,4,2,7,2,3,805.0
162,166,2,35,1,15.6,2,8,8,2,29,2,2.13,728.0
163,167,4,11,3,15.6,5,25,16,2,31,2,2.5,1079.0
164,168,5,107,1,15.6,4,23,4,6,21,2,2.1,348.0
165,169,7,108,3,15.6,5,25,16,11,23,2,2.4,1799.0
166,170,5,3,1,15.6,4,28,4,6,42,2,2.1,363.51
167,171,2,96,3,15.6,2,25,8,8,16,2,2.56,1060.49
168,172,5,106,1,17.3,5,8,8,2,7,2,3,854.0
169,173,1,34,1,13.3,5,8,4,4,8,2,1.49,754.0
170,174,14,109,0,13.0,15,2,8,2,2,2,1.05,1349.0
171,175,1,110,1,17.3,5,2,6,14,29,2,2.71,699.0
172,176,4,55,1,15.6,4,39,4,4,28,1,2.2,309.0
173,177,8,90,1,15.6,4,14,4,4,2,2,2,489.0
174,178,1,18,1,17.3,2,8,8,2,19,2,2.5,923.0
175,179,2,6,1,15.6,4,14,8,6,2,2,2.3,459.0
176,180,5,95,1,15.6,4,9,4,0,9,2,2.1,449.0
177,181,7,111,3,18.4,2,40,32,17,43,2,4.4,2799.0
178,182,4,112,1,15.6,2,2,8,8,44,2,1.90,813.0
179,183,1,76,4,13.3,14,8,8,2,8,2,1.29,1499.0
180,184,2,16,1,15.6,2,7,16,12,18,4,2.02,1049.0
181,185,2,9,0,13.3,2,8,8,2,8,2,1.23,1399.0
182,186,4,113,4,13.9,14,7,16,3,8,2,1.4,1849.0
183,187,8,90,1,15.6,4,2,8,0,2,2,2.0,793.0
184,188,10,114,1,15.6,5,8,8,2,7,1,1.95,1199.0
185,189,2,29,1,17.3,8,7,16,3,24,2,2.77,1549.0
186,190,2,115,1,15.6,16,25,16,3,16,2,2.06,2397.0
187,191,4,11,3,15.6,5,16,8,2,16,1,2.4,779.0
188,192,5,116,0,13.3,5,41,8,2,12,2,1.12,989.0
189,193,2,23,1,17.3,2,7,8,8,18,2,2.8,1085.0
190,194,4,117,4,14.0,17,12,16,18,2,2,1.42,2824.0
191,195,13,118,1,14.0,5,23,4,7,21,2,1.3,260.0
192,196,10,114,0,13.3,5,2,8,2,7,1,1.3,999.9
193,197,4,119,1,17.3,18,8,8,2,7,1,2.8,698.0
194,198,2,13,4,13.3,7,7,8,6,8,2,1.62,839.0
195,199,1,18,1,17.3,5,8,8,6,19,2,2.5,914.0
196,200,12,120,3,17.3,16,42,32,18,45,2,3.49,6099.0
197,201,1,34,1,13.3,2,8,8,3,8,2,1.49,959.0
198,202,1,121,3,17.3,5,25,16,11,16,2,3.35,1379.0
199,203,1,81,1,17.3,2,7,8,2,22,2,2.5,1045.0
